[(224, 223), (223, 222), (222, 81), (81, 80), (80, 82), (82, 4), (4, 165), (165, 11), (11, 32), (32, 38)]
[(214, 196), (196, 195), (195, 57), (57, 11), (11, 7), (7, 13), (13, 84), (84, 80), (80, 81), (81, 222)]
[(194, 192), (192, 191), (191, 193), (193, 183), (183, 182), (182, 186), (186, 237), (237, 60), (60, 227), (227, 45)]
[(191, 193), (193, 183), (183, 182), (182, 186), (186, 237), (237, 60), (60, 13), (13, 7), (7, 8), (8, 69)]
[(201, 195), (195, 57), (57, 11), (11, 7), (7, 13), (13, 84), (84, 80), (80, 81), (81, 222), (222, 223)]
[(224, 223), (223, 222), (222, 81), (81, 80), (80, 82), (82, 161), (161, 53), (53, 12), (12, 5), (5, 105)]
[(208, 204), (204, 205), (205, 45), (45, 44), (44, 49), (49, 134), (134, 5), (5, 317), (317, 149), (149, 241)]
[(136, 134), (134, 126), (126, 125), (125, 127), (127, 56), (56, 55), (55, 57), (57, 258), (258, 117), (117, 226)]
[(192, 191), (191, 193), (193, 183), (183, 182), (182, 186), (186, 225), (225, 82), (82, 80), (80, 83), (83, 3)]
[(180, 70), (70, 52), (52, 195), (195, 57), (57, 13), (13, 188), (188, 187), (187, 183), (183, 193), (193, 194)]
[(126, 125), (125, 127), (127, 56), (56, 55), (55, 57), (57, 13), (13, 188), (188, 187), (187, 183), (183, 123)]
[(192, 191), (191, 193), (193, 183), (183, 182), (182, 186), (186, 121), (121, 195), (195, 12), (12, 5), (5, 99)]
[(216, 196), (196, 195), (195, 57), (57, 11), (11, 7), (7, 13), (13, 84), (84, 80), (80, 81), (81, 222)]
[(203, 183), (183, 182), (182, 186), (186, 225), (225, 82), (82, 80), (80, 84), (84, 13), (13, 10), (10, 151)]
